TrafficFactID,DateKey,AreaKey,RoadName,TrafficVolume,AverageSpeed,TravelTimeIndex,CongestionLevel,RoadCapacityUtilization,IncidentReports,EnvironmentalImpact,ParkingUsage
1,20220101,3,100 Feet Road,50590,50.23029856408026,1.5,100.0,100.0,0,151.18,85.40362888980228
2,20220101,3,CMH Road,30825,29.377124707590276,1.5,100.0,100.0,1,111.65,59.98368910791799
3,20220101,7,Marathahalli Bridge,7399,54.47439821046639,1.0390688456025536,28.34799386357647,36.39652493739601,0,64.798,95.4660201039391
4,20220101,5,Sony World Junction,60874,43.817610389486106,1.5,100.0,100.0,1,171.748,63.5674515886948
5,20220101,5,Sarjapur Road,57292,41.11676288840868,1.5,100.0,100.0,3,164.584,93.15517129377967
6,20220101,6,Trinity Circle,47848,34.241962549718146,1.5,100.0,100.0,3,145.696,55.39457134966522
7,20220101,6,Anil Kumble Circle,36574,29.98242956415464,1.5,100.0,100.0,3,123.148,90.37200775820313
8,20220101,4,Jayanagar 4th Block,25379,38.45517943888766,1.5,79.03882287608127,100.0,2,100.758,68.1814801189647
9,20220101,4,South End Circle,25022,35.039373044314026,1.5,78.97959595139889,100.0,1,100.044,62.10276357557502
10,20220101,2,Hebbal Flyover,31760,56.90455625809979,1.5,97.67246206775482,100.0,1,113.52,83.87821809211411
11,20220101,2,Ballari Road,38446,26.144876261711516,1.5,100.0,100.0,3,126.892,62.092614545022585
12,20220101,8,Yeshwanthpur Circle,15043,47.96984673233186,1.3548345697060469,55.74084425048581,76.63531646154289,0,80.086,80.3214529829795
13,20220102,3,100 Feet Road,22050,52.87084603742452,1.130159879263707,78.42982810236049,100.0,3,94.1,62.19948216895418
14,20220102,3,CMH Road,37877,26.42842443583717,1.5,100.0,100.0,1,125.754,95.74321951102245
15,20220102,5,Sarjapur Road,29106,43.56398794323472,1.5,90.40985493372185,100.0,3,108.212,57.0042007618262
16,20220102,6,Trinity Circle,53217,37.57207490980107,1.5,100.0,100.0,5,156.434,54.69909699204345
17,20220102,6,Anil Kumble Circle,37584,45.889505969673664,1.5,100.0,100.0,2,125.168,76.5677315784074
